                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.51982,                0.42184,                0.98828,                0.63254,                0.00501,                0.07106,                0.06213,                    nan,                    nan,                    nan,             0.00024907,             0.00024907,             0.00024907
                    113,                0.53493,                0.44315,                 0.9951,                0.62816,                0.00497,                0.08904,                0.07794,                    nan,                    nan,                    nan,             0.00024307,             0.00024307,             0.00024307
                    114,                0.51708,                0.41725,                0.98868,                0.70628,                0.00501,                0.13454,                0.11983,                    nan,                    nan,                    nan,             0.00023707,             0.00023707,             0.00023707
                    115,                0.51325,                 0.4257,                0.98741,                0.70037,                0.00501,                0.17375,                0.15164,                    nan,                    nan,                    nan,             0.00023107,             0.00023107,             0.00023107
                    116,                0.52511,                0.42104,                0.99099,                0.48819,                0.00499,                 0.1047,                 0.0911,                    nan,                    nan,                    nan,             0.00022507,             0.00022507,             0.00022507
                    117,                0.51649,                0.40892,                0.98744,                0.35714,                0.00501,                0.18138,                0.16199,                    nan,                    nan,                    nan,             0.00021907,             0.00021907,             0.00021907
                    118,                0.51356,                0.41399,                0.98862,                0.83532,                0.00501,                0.14625,                0.12073,                    nan,                    nan,                    nan,             0.00021307,             0.00021307,             0.00021307
                    119,                0.51929,                0.42062,                0.99449,                0.55615,                0.00497,                0.12676,                 0.1116,                    nan,                    nan,                    nan,             0.00020707,             0.00020707,             0.00020707
                    120,                0.50237,                0.41477,                0.98664,                0.65846,                0.00499,                0.08708,                0.07741,                    nan,                    nan,                    nan,             0.00020107,             0.00020107,             0.00020107
                    121,                0.50807,                0.41035,                0.98969,                0.79347,                0.00498,                 0.0659,                0.05869,                    nan,                    nan,                    nan,             0.00019507,             0.00019507,             0.00019507
                    122,                 0.5035,                0.40281,                0.97317,                0.70806,                  0.005,                0.13082,                0.11707,                    nan,                    nan,                    nan,             0.00018907,             0.00018907,             0.00018907
                    123,                 0.4965,                0.41036,                0.98181,                 0.5739,                0.00501,                0.16686,                0.15128,                    nan,                    nan,                    nan,             0.00018307,             0.00018307,             0.00018307
                    124,                0.50978,                0.42021,                0.98372,                0.57892,                  0.005,                0.13862,                0.12699,                    nan,                    nan,                    nan,             0.00017707,             0.00017707,             0.00017707
                    125,                0.50082,                0.40228,                0.98533,                0.69812,                  0.005,                  0.155,                0.13579,                    nan,                    nan,                    nan,             0.00017107,             0.00017107,             0.00017107
                    126,                0.49069,                0.39913,                0.97648,                0.61286,                0.00501,                0.20374,                0.18914,                    nan,                    nan,                    nan,             0.00016507,             0.00016507,             0.00016507
                    127,                0.47956,                0.39507,                0.96574,                0.66216,                0.00501,                0.16814,                0.15023,                    nan,                    nan,                    nan,             0.00015907,             0.00015907,             0.00015907
                    128,                0.49135,                0.39496,                0.97235,                0.89729,                  0.005,                0.20069,                0.17951,                    nan,                    nan,                    nan,             0.00015308,             0.00015308,             0.00015308
                    129,                0.48137,                0.39056,                0.96858,                0.33333,                0.00501,                0.16983,                0.14913,                    nan,                    nan,                    nan,             0.00014708,             0.00014708,             0.00014708
                    130,                0.47545,                0.38363,                0.97086,                0.45238,                0.00501,                0.22886,                0.20472,                    nan,                    nan,                    nan,             0.00014108,             0.00014108,             0.00014108
                    131,                0.47122,                0.38347,                0.96689,                0.35714,                0.00501,                0.18138,                0.16443,                    nan,                    nan,                    nan,             0.00013508,             0.00013508,             0.00013508
                    132,                0.46537,                 0.3809,                 0.9557,                0.45238,                0.00501,                0.22886,                0.20472,                    nan,                    nan,                    nan,             0.00012908,             0.00012908,             0.00012908
                    133,                0.47489,                  0.398,                0.97481,                0.45714,                0.00501,                0.23124,                0.20662,                    nan,                    nan,                    nan,             0.00012308,             0.00012308,             0.00012308
